Title,Date,Article
Major auto cos log subdued sales in April amid COVID-19,23 days ago,"New Delhi, May 1 (PTI) Major automobile manufacturers Maruti Suzuki, Hyundai Motor, Tata Motors and Kia on Saturday reported a decline in passenger vehicle sales in April compared to March this year as the second wave of the coronavirus pandemic hit dispatches."
"Tata Motors sales dip 41 pc to 39,530 units in April against March",23 days ago,"New Delhi, May 1 (PTI) Tata Motors on Saturday said its total domestic sales declined by 41 per cent to 39,530 units in April as compared to 66,609 vehicles in March this year."
The chip shortage bringing car factories to a standstill,25 days ago,The global chip shortage spans across the globe and has put pressure on a number of carmakers who are competing directly with tech companies and the consumer electronics sector for supply.
Tata Motors appoints Martin Uhlarik as Global Design Head,25 days ago,"Mumbai, Apr 29 (PTI) Tata Motors on Thursday announced the appointment of Martin Uhlarik as the company's new Global Design Head."
"Pratap Bose Resigns from Tata Motors, Martin Uhlarik Announced New Design Head",25 days ago,"Pratap Bose was instrumental in establishing Tata Motors as a maker of some of the best looking cars in India including products like Harrier, Tiago among others."
Jaguar Land Rover to suspend work at UK plants amid computer chip shortage,last month,Jaguar Land Rover to suspend work at UK plants amid computer chip shortageUK’s largest carmaker to halt production at Halewood and Castle Bromwich for at least a week to assess supplies A global shortage of semiconductors is hitting manufacturers across many sectors. Photograph: Bloomberg via Getty
Chip shortage forces Jaguar Land Rover to halt production,last month,"Jaguar Land Rover will halt production at its two main factories due to a shortage of computer chips as Covid-related supply issues continue to blight the global car industry. The company will temporarily shut down production at its plants in Castle Bromwich in the West Midlands and Halewood on Merseyside from Monday. Sources warned that the shortage of parts could affect other British plants. Honda has blamed supply issues for delays and Renault said on Thursday that supplies of chips to return were unlikely to return to normal until the third quarter of the year. A senior car industry source said: ""All car manufacturers in the UK - and around the world - have very limited visibility on chip supplies, sometimes just a week. It's a combination of so many factors - Covid, Brexit and the Suez Canal blockage among them."" The shutdown at JLR is expected to last at least a week, although it will monitor chip supplies before committing to a date for restarting. Models affected by the stoppages include the Jaguar XE, XF and F-Type sports car at Castle Bromwich, and the Discovery Sport and Range Rover Evoque at Halewood. The shutdown was first reported by the Guardian."
Jaguar Land Rover output at two UK plants hit by chips shortage,last month,"Output at two of Jaguar Land Rover's (JLR) British car factories will be temporarily halted from Monday, due to COVID-19 supply chain disruption, including a lack of semi-conductors, the firm said on Thursday.  ""We have adjusted production schedules for certain vehicles which means that our Castle Bromwich and Halewood manufacturing plants will be operating a limited period of non-production from Monday 26th April,"" the Tata Motors-owned company said.  The COVID-19 pandemic has driven up demand for semiconductor chips for use in electronics like computers, as people worked from home, and suppliers are struggling to adjust, hitting output at many automakers."
Jaguar Land Rover to suspend production at UK plants amid computer chip shortage,last month,"The company, which is owned by India’s Tata Motors, said it would have a 'limited period of non-production' at its plants in Castle Bromwich and Halewood."
Corrected (Official): Jaguar Land Rover expects China premium car sales to grow this year,last month,"Jaguar Land Rover expects premium car sales to continue to grow this year in China, the automaker's chief finance officer for China said.  Tim Howard was speaking to reporters at the 2021 Shanghai Auto Show.  Jaguar Land Rover has started making its first plug-in hybrid vehicles in China."
,,Term Insurance Premium Increase with Age. Get cover up to the age of 90 with the option to increase sum assured by 25% every 5 yrs. Get Free Quote Now
"Amid Budget Deal And Vaccine Rollout, India Stocks Surge",2 months ago,"The country's National Stock Exchange hosted one of the most powerful rebounds from pandemic lows among global markets in 2020, followed by an ambitious budget introduced by the Narendra Modi government on Feb. 1."
Car industry lobbied UK government to delay ban on petrol and diesel cars,2 months ago,"Car industry lobbied UK government to delay ban on petrol and diesel cars. Carmakers argued strongly against a ban earlier than 2040, in written submissions seen by the Guardian"
Will Air-Powered Vehicles Ever Become A Reality?,2 months ago,"Vehicles fueled by compressed air have been around as a concept since 1996, but they have struggled to gain as much interest as electric vehicles and hybrid cars"
"Betting on death of petrol cars, Volvo to go all electric by 2030",3 months ago,"Volvo's entire car lineup will be fully electric by 2030, the Chinese-owned company said on Tuesday, joining a growing number of automakers planning to phase out fossil-fuel engines by the end of this decade.  ""I am totally convinced there will be no customers who really want to stay with a petrol engine,"" Volvo Chief Executive Håkan Samuelsson told reporters when asked about future demand for electric vehicles.  ""We are convinced that an electric car is more attractive for customers."""
,,"RUGGEDCOM Cybersecurity Solutions. Discover the right hardware, software & OT expertise to protect your critical infrastructure and achieve compliance"
"Indian shares end flat; Reliance gains, financials weigh",3 months ago,"Indian shares ended nearly flat on Tuesday as gains in Reliance and commodity firms were offset by a selloff in financial stocks.  The NSE Nifty 50 index ended 0.22% higher at 14,707.70 and the S&P BSE Sensex closed 0.01% higher at 49,751.41.  Both the indexes snapped five sessions of losses to advance 1.2% during the session, before paring gains as investors sold private sector bank stocks."
"Jaguar Land Rover to cut 2,000 jobs globally",3 months ago,"Jaguar Land Rover said on Wednesday it would cut 2,000 jobs from its global salaried workforce, just days after announcing its luxury Jaguar brand will be entirely electric by 2025 and e-models of its entire lineup will be launched by 2030.  ""The full review of the Jaguar Land Rover organisation is already underway,"" the company said in an emailed statement.  JLR, owned by India's Tata Motors, said earlier that its Land Rover brand will launch six fully electric models over the next five years, with the first in 2024."
Ford's Europe car lineup to be all-electric by 2030,3 months ago,"Ford Motor Co on Wednesday said its car lineup in Europe will be all-electric by 2030 as the U.S. automaker races to get ahead of CO2 emissions targets and looming bans in some countries on fossil fuel vehicles.  The carmaker said it will invest $1 billion over the next 30 months to convert its vehicle assembly plant in Cologne, Germany, to become the U.S. automaker's first electric vehicle facility in Europe.  ""This reinforces our commitment to the European region,"" Stuart Rowley, head of Ford's European operations, said during a news conference."
JLR to make Jaguar brand electric-only by 2025,3 months ago,JLR to make Jaguar brand electric-only by 2025Carmaker also says it will abandon petrol vehicles entirely by middle of next decade The decisions are part of changes brought in by Jaguar Land Rover’s new chief executive. Photograph: Andrew Matthews/PA
Jaguar Land Rover’s low-carbon plans end mass production at Castle Bromwich plant,3 months ago,"Jaguar Land Rover’s low-carbon plans end mass production at Castle Bromwich plant. Analysis: work at West Midlands site, formerly at centre of wartime efforts, to be wound down"
Jaguar cars to go all-electric by 2025 as JLR plans full range of e-models by 2030,3 months ago,"Jaguar Land Rover's luxury Jaguar brand will be entirely electric by 2025 and the carmaker will launch e-models of its entire lineup by 2030, it said on Monday, as it joined a global race to develop zero-emission vehicles. JLR, owned by India's Tata Motors, said its Land Rover brand will launch six pure electric models over the next five years, with the first one coming in 2024. Known for its iconic, high-performance E-Type model in the 1960s and 1970s, Jaguar faces the same challenge as many other carmakers - making the transition to electric vehicles while retaining the feeling and power of a luxury combustion engine model."
Chauffeur service Blacklane buys majority stake in Havn to boost electric fleet,3 months ago,"The investment was completed in November and permits Blacklane to grow Havn's service and offer more zero-emission rides in London, the companies said in a joint statement on Tuesday.  With this deal, Berlin-based Blacklane, which operates in more than 300 cities in 50 countries, will add Havn's all-electric Jaguar I-PACE performance SUVs to its global fleet."
Chinese carbuyers help Jaguar Land Rover outpace UK lockdowns,4 months ago,"Chinese carbuyers help Jaguar Land Rover outpace UK lockdowns. Pretax profits of £439m for last three months of 2020, despite fall in UK production"
"Jaguar Land Rover owner worried by chip shortage, Brexit breakdowns",4 months ago,"Jaguar Land Rover (JLR) owner Tata Motors is concerned by semiconductor shortages and Brexit-related supply disruptions as its luxury car sales recover, although the Indian automaker said on Friday these had not yet hit production.  Tata Motors had three straight quarters of losses as the COVID-19 crisis dented sales, exacerbating uncertainties over Britain's European Union exit, weak demand and rising costs, but has bounced back to clock a profit in its third quarter.  ""The issue is completely on the supply side rather than demand,"" PB Balaji, chief financial officer, said after Tata Motors posted a 67.2% rise in profit for the last quarter of 2020, with improved sales at JLR in key markets like China."
"Tata Motors worried by chip shortage, Brexit breakdowns",4 months ago,"Jaguar Land Rover (JLR) owner Tata Motors is concerned by semiconductor shortages and Brexit-related supply disruptions as its luxury car sales recover, although the Indian automaker said on Friday these had not yet hit production.  Tata Motors had three straight quarters of losses as the COVID-19 crisis dented sales, exacerbating uncertainties over Britain's European Union exit, weak demand and rising costs, but has bounced back to clock a profit in its third quarter.  ""The issue is completely on the supply side rather than demand,"" PB Balaji, chief financial officer, said after Tata Motors posted a 67.2% rise in profit for the last quarter of 2020, with improved sales at JLR in key markets like China."
UK car production in 2020 slumped to lowest level since 1984,4 months ago,"UK car production in 2020 slumped to lowest level since 1984. Covid pandemic resulted in output drop of 29%, the ‘worst in a generation’, say industry experts"
Jaguar Land Rover appoints creative chief to board as it redefines strategy,4 months ago,"Jaguar Land Rover appointed its creative boss to the board of management on Wednesday to help redefine the Jaguar brand as Britain's biggest carmaker reviews its strategy under new CEO Thierry Bollore.  Bollore took over the firm in September and faces a number of challenges including electrification, managing underutilisation of its plants, handling the rapid fall in diesel sales and the effect of COVID-19 on the industry.  The Jaguar brand has also underperformed Land Rover in recent years with some model overlap."
Tata Motors sees better second half even as it prepares for hard Brexit,7 months ago,"India's Tata Motors Ltd <TAMO.NS> forecast a stronger second half on Tuesday as sales of its Jaguar Land Rover (JLR) vehicles improved in key markets even as it continued to grapple with the COVID-19 pandemic and uncertainties over a hard Brexit.  The global health crisis has hammered sales for automakers worldwide and compounded problems for the company's luxury unit, which, like most companies, will have to face a wall of bureaucracy as Britain casts off from the European Union from Jan. 1.  Tata Motors said while it was prepared for any friction at the border, it hoped for clarity on Brexit to avoid supply chain disruptions and better manage its inventory."
JLR to launch electric Jaguar I-PACE in India in early 2021,7 months ago,"Jaguar Land Rover (JLR) plans to launch its electric Jaguar I-PACE sedan in India early next year, the automaker's country head told Reuters on Thursday, as governments across the world push for more clean-energy vehicles.  The British luxury carmaker owned by India's Tata Motors also plans to launch plug-in hybrid versions of its vehicles in coming months, including the Land Rover Defender sport-utility vehicle (SUV), JLR India's Rohit Suri said."
"2020 Land Rover Defender goes off-road, and upmarket",7 months ago,"The all-new for 2020 Defender is fantastic. But it’s not exactly priced like the utilitarian, jack-of-all-trades Defender of old. It’s gone upscale."
"Jaguar, NTT team up with tech group on remote access software",8 months ago,"Berlin-based technology group IOTA said on Wednesday it has teamed up with several large corporations around the world such as Jaguar Land Rover and NTT Data in the launch of software that would grant consumers remote access and control of items such as cars and appliances.  The software, called IOTA Access and developed by the University of Cambridge as well as a European start-up three years ago, also grants and revokes conditional access by individuals other than the user to the physical devices.  IOTA, which specializes in distributed ledgers - a technology similar to blockchain - has teamed up with British luxury carmaker Jaguar Land Rover Automotive Plc, European chipmaker STMicroelectronics, and Japan's NTT Data, among other companies, to launch IOTA Access, it said in a statement."
Top European automakers linked to deforestation in Paraguay's Chaco - Earthsight,8 months ago,"Environmental group Earthsight said on Wednesday it has linked some of Europe's largest carmakers to the deforestation of the Chaco, a dry forest region of Paraguay home to jaguars and one of the last uncontacted indigenous groups in the world.  The group said in a report that livestock companies have illegally logged lands of the Ayoreo Totobiegosode indigenous ethnic group, some of whose members live in voluntary isolation.  The livestock skin is used in leather upholstery of luxury vehicles sold by high-end European auto brands including BMW <BMWG.DE>, Jaguar and Land Rover, the group said."
"Auto Stock Roundup: HMC's Takata Settlement, F & FCAU's Issuance of Recalls and More",9 months ago,"While Honda (HMC) reaches $85-million settlement over the Takata airbag scandal, Ford (F) and Fiat Chrysler (FCAU) issue recall for 528 and 132K vehicles, respectively."
Tata Motors Deleveraging Goal Sparks Hope: Is it Attainable?,9 months ago,Tata Motors (TTM) intends to deleverage the business in three years and become free cash flow positive by fiscal 2022.
Tata Motors says it will significantly reduce $6.4 billion debt over 3 years,9 months ago,"India's Tata Motors Ltd will significantly reduce its group automotive debt of 480 billion rupees (4.8 billion pounds) over the next three years, the company's chairman said during its annual shareholder meeting on Tuesday.  Tata Motors is ""deleveraging this business substantially"" and has set targets to generate free cash flows, N Chandrasekaran said.  This has derailed Tata Motors' turnaround plans for its domestic business and British luxury unit, Jaguar Land Rover (JLR), but the company said it is committed to cutting costs, tightening investment spending and improving profitability."
Tata Motors says it will significantly reduce $6.4 billion debt over three years,9 months ago,"India's Tata Motors Ltd <TAMO.NS> will significantly reduce its group automotive debt of 480 billion rupees ($6.4 billion) over the next three years, the company's chairman said during its annual shareholder meeting on Tuesday.  Tata Motors is ""deleveraging this business substantially"" and has set targets to generate free cash flows, N Chandrasekaran said.  This has derailed Tata Motors' turnaround plans for its domestic business and British luxury unit, Jaguar Land Rover (JLR), but the company said it is committed to cutting costs, tightening investment spending and improving profitability."
Tata Motors denies it plans to sell stake in Jaguar Land Rover,9 months ago,Tata Motors denies it plans to sell stake in Jaguar Land RoverIndian firm says carmaker’s business ‘remains strong’ despite Covid-19 pandemic
UK bailout talks for Jaguar Land Rover and Tata Steel fall through - FT report,9 months ago,"The report https://www.ft.com/content/ea0f0775-d97e-4aba-9ec9-7da1945f2a1a said that talks for an emergency funding fell through as Jaguar Land Rover (JLR) did not qualify for taxpayer support.  It is the luxury car unit of India's Tata Motors Ltd <TAMO.NS> and Tata Steel, both owned by Indian conglomerate Tata Group.  ""Tata Steel remains in ongoing and constructive talks with the UK Government on areas of potential support,"" Tata Steel said in an emailed statement."
Tata warns of another loss at JLR as demand slow to pick up,10 months ago,"India's Tata Motors Ltd <TAMO.NS> warned on Friday that its luxury car unit, Jaguar Land Rover (JLR), may post another quarterly loss as the coronavirus crisis saps demand and cripples its supply chain.  The pandemic has taken a heavy toll on automakers globally and piled pressure on Tata Motors, which has been trying to improve JLR's cash flows by reining in costs after geopolitical and regulatory challenges hurt the British carmaker's sales.  Tata Motors raised its cost savings target for JLR by 1 billion pounds and now expects to save 6 billion pounds in costs by March 2021, Chief Financial Officer PB Balaji said on Friday, noting that it had already achieved savings of 4.7 billion pounds."
Tata Motors (TTM) Q2 2020 Earnings Call Transcript,10 months ago,"Before we get started, I would like to remind everyone that today's call contains forward-looking statements within the meaning of the Private Securities Litigation Reform Act of 1995, including statements related to TTM's future business outlook.  This transaction provides us the balance sheet flexibility to continue the journey to increase TTMs focus on differentiation and less capital-intensive, less seasonal, long-cycle end markets."
Jaguar Land Rover names ousted Renault boss as CEO,10 months ago,"Jaguar Land Rover (JLR) <TAMO.NS> has picked ousted Renault boss Thierry Bollore as its next chief executive, with a mission to return Britain's biggest carmaker to profit after a big hit from the COVID-19 pandemic.  Bollore took over at Renault <RENA.PA> in January 2019 after the fall of Carlos Ghosn, but was always viewed a close to the French carmaker's long-time boss and was pushed out in October when it looked for a fresh start.  Bollore will take over at JLR on Sept. 10, replacing Ralf Speth, whose tenure ends after more than 10 years."
"DHL to cut 2,200 UK workers at Jaguar Land Rover factories, union says",11 months ago,"The job cuts comprise just under 40% of the entire DHL workforce on the contract, the union said.  DHL indicated that the half of the job cuts are due to a decline in car production and half are the result of anticipated ""efficeincy savings"", the union added.  ""DHL must not attempt to make permanent full-time staff redundant while continuing to outsource work to sub-contractors,"" Matt Draper, Unite national officer for logistics, said."
Tata Motors Group (TTM) Q4 2020 Earnings Call Transcript,11 months ago,"TTM earnings call for the period ending March 31, 2020."
"Tata Motors to shed 1,100 JLR jobs after pandemic hits earnings",11 months ago,"India's Tata Motors Ltd expects to shed about 1,100 temporary jobs at Jaguar Land Rover after it raised the cost-cutting target at its luxury unit by 1 billion pounds ($1.26 billion) to ride out the disruptions caused by the coronavirus outbreak.  Tata Motors expects to save 5 billion pounds in costs by March 2021 at its Jaguar Land Rover (JLR) unit, the Indian automaker's Chief Financial Officer PB Balaji said on Monday, adding 3.5 billion pounds of the savings had already been achieved.  It will also reduce capital expenditure at JLR to 2.5 billion pounds for the current fiscal year, from the more than 3 billion pounds it has spent annually in previous years."
JLR raises $705 million loan from Chinese banks,last year,"Jaguar Land Rover (JLR), owned by India's Tata Motors <TAMO.NS>, has entered into agreements with lenders in China for an unsecured 3-year term loan facility of 5 billion yuan ($704.50 million), marking its first debt financing in China, it said.  Arthur Yu, JLR's vice president and China chief financial officer, said the Chinese banks that would provide it with the three-year revolving loan include Bank of China <601988.SS>, ICBC <601398.SS>, China Construction Bank <601939.SS>, Bank of Communications <601328.SS> and Shanghai Pudong Development Bank <600000.SS>."
Jaguar Land Rover raises $705 million loan from Chinese banks,last year,"Jaguar Land Rover (JLR), owned by India's Tata Motors <TAMO.NS>, has entered into agreements with lenders in China for an unsecured 3-year term loan facility of 5 billion yuan (556.58 million pounds), marking its first debt financing in China, it said.  Arthur Yu, JLR's vice president and China chief financial officer, said the Chinese banks that would provide it with the three-year revolving loan include Bank of China <601988.SS>, ICBC <601398.SS>, China Construction Bank <601939.SS>, Bank of Communications <601328.SS> and Shanghai Pudong Development Bank <600000.SS>."
