,Date,Title,Article,Company,Source
10,2021-05-09,"M-cap of eight of top-10 most-valued companies zooms by Rs 81,250.83 cr","New Delhi, May 9 (PTI) Eight of the top-10 most-valued companies together added Rs 81,250.83 crore in market valuation last week, with Tata Consultancy Services emerging as the biggest gainer.",Reliance,Yahoo! Finance
11,2021-05-02,M-cap of seven of top-10 most-valued companies jumps a whopping over Rs 1.62 lakh cr,"New Delhi, May 2 (PTI) Seven of the top-10 most-valued companies together added a whopping Rs 1,62,774.49 crore in market valuation last week, with major contribution coming in from Reliance Industries Ltd and Bajaj Finance.",Reliance,Yahoo! Finance
12,2021-05-01,"Reliance ramps up production of medical-grade oxygen to 1,000 tonnes a day","New Delhi, May 1 (PTI) Billionaire Mukesh Ambani's Reliance Industries Ltd has ramped up production of medical oxygen to 1,000 tonnes per day, making it India's largest producer of medical-grade liquid oxygen from a single location.",Reliance,Yahoo! Finance
13,2021-04-30,"Reliance Jio Net Profit Jumps 47.5% to Rs 3,508 Crore in Q4; Adds 3.1 Crore Customers","The revenue from operations grew 19% year-on-year to Rs 18,278 crore for the quarter under review",Reliance,Yahoo! Finance
14,2021-04-30,"Reliance Retail Q4 pre-tax profit up 41.5 pc to Rs 3,617 cr; revenue rises 20 pc to Rs 41,296 cr","New Delhi, Apr 30 (PTI) Reliance Retail on Friday reported a 41.45 per cent increase in pre-tax profit at Rs 3,617 crore for the fourth quarter ended March 31, 2021.",Reliance,Yahoo! Finance
15,2021-04-30,"Jio Adds 3.1 Crore Subscribers, 13.3GB Data Used by Each User Per Month in Q4FY21","Jio has, during the previous quarter, reported reduced churn rate of 1.26 percent, and has moved to bring Jio 5G closer to reality in the coming quarters.",Reliance,Yahoo! Finance
16,2021-04-30,"Reliance Industries Generates 75,000 Jobs in Covid-19 Pandemic Year","Reliance Industries posted a net profit of Rs 13,227 Rs crore for the quarter ended March 31, 2021",Reliance,Yahoo! Finance
17,2021-04-30,Reliance enjoys petchem rebound but profit misses estimates,"India's Reliance Industries said on Friday its quarterly profit doubled, led by a rebound in its petrochemicals and retail businesses, but fell short of analysts' estimates as costs jumped 10%.  The oil-to-telecoms conglomerate, led by billionaire Mukesh Ambani, said consolidated profit climbed 108% to 132.27 billion rupees ($1.79 billion) in the three months to March 31.  Revenue at Reliance's oil-to-chemicals unit – home to both its refining and petrochemicals operations – rose 4.5% in the March quarter.",Reliance,Yahoo! Finance
18,2021-04-30,"Reliance Industries Q4 Results: Net Profit Doubles to Rs 13,227 Crore","The company posted a net profit of Rs 6,348 crore during the same period last year",Reliance,Yahoo! Finance
19,2021-04-28,"Reliance Foundation to provide free COVID treatment at upcoming 1,000-bed facility in Jamnagar","New Delhi, Apr 28 (PTI) Reliance Foundation on Wednesday said it is setting up a 1,000-bed COVID-19 care facility with oxygen supply in Jamnagar, Gujarat where all services will be provided free of cost.",Reliance,Yahoo! Finance
20,2021-04-28,"Reliance, Saudi Aramco discuss cash and share stake deal: Report","New Delhi, Apr 28 (PTI) Billionaire Mukesh Ambani's Reliance Industries is reported to have held talks with Saudi Aramco on a cash and share deal for sale of a 20 per cent stake in its oil refining and petrochemical arm.",Reliance,Yahoo! Finance
21,2021-04-28,"Reliance Industries to set up 1,000-bed COVID-19 hospital in Gujarat's Jamnagar","Ahmedabad, Apr 28 (PTI) Reliance Industries Ltd (RIL) will set up a 1,000-bed COVID-19 hospital with oxygen facility at Jamnagar in Gujarat's Saurashtra region where it operates the world's largest crude oil refinery, with the 400-bed facility getting operational in the next five days, the state government said Wednesday.",Reliance,Yahoo! Finance
22,2021-03-24,India's richest man Ambani fined for irregularities in Reliance share issue,"India's market regulator fined Reliance Industries Chairman Mukesh Ambani and others 250 million rupees ($3.36 million) on Wednesday over irregularities in a two-decade-old share issue in the company.  Ambani, the country's richest man, his family members and some entities linked to them were penalised by the Securities and Exchange Board of India (SEBI) for not making regulatory disclosures when they collectively raised their shareholding in Reliance by nearly 7% by subscribing to the January 2000 issue.  Reliance Industries did not immediately respond to a request for comment.",Reliance,Yahoo! Finance
23,2021-03-24,Amazon calls on India not to alter e-commerce investment rules - sources,"Amazon asked the Indian government on Thursday not to change e-commerce foreign investment rules until investigations into its business practices had been concluded, two sources familiar with the discussions told Reuters.  The commerce ministry met e-commerce players after allegations by retailers, which are a crucial part of Prime Minister Narendra Modi's support base, that Amazon and Walmart's Flipkart create complex structures to bypass federal foreign investment rules and damage small traders.  New Delhi has been considering revising e-commerce foreign investment rules for weeks.",Reliance,Yahoo! Finance
24,2021-03-24,"Car bomb, corruption and COVID: 'Sordid' drama rocks India's finance capital","A senior Mumbai police officer filed a complaint in the Supreme Court on Monday accusing a state government minister of corruption, the latest development in a bizarre case that has transfixed the media for weeks.  Param Bir Singh, the former head of police in Mumbai, filed a petition seeking an ""unbiased, uninfluenced, impartial and fair investigation"" into corruption allegations against Anil Deshmukh, interior minister of Maharashtra state that is home to the city.  Deshmukh has denied impropriety.",Reliance,Yahoo! Finance
25,2021-03-24,"In India, Reliance Retail's private labels revolution spooks global consumer goods makers","Inside supermarkets of Reliance Retail, run by India's richest man, Mukesh Ambani, little-known food and home cleaning brands take pride of place on shelves alongside global labels owned by giants Nestle, Unilever and Coca-Cola.  These are not just a cheap and cheerful option for urban shoppers in Reliance's own expanding store network.  This is Ambani's bet on pitching brands that are basic, yet still aspirational at 'kiranas' - traditional mom-and-pop stores which serve roughly 80% of the retail market in world's second-most populous nation.",Reliance,Yahoo! Finance
26,2021-03-24,Indian shares end higher in volatile trade; Future Group firms slide,"Indian shares recovered from early losses to end higher on Friday in a volatile session, as a pullback in U.S. Treasury yields from 14-month highs brought back some risk appetite into the market, which has fallen nearly 2% this week.  U.S. bond yields on Friday edged off the 14-month highs reached the day before.  India's two main stock exchanges posted their first weekly decline in three on a fresh surge in domestic COVID-19 cases and rising U.S. bond yields.",Reliance,Yahoo! Finance
27,2021-03-24,Indian shares end lower as banks drag; Gland Pharma jumps 10% on vaccine deal,"Indian shares gave up early gains to close lower on Tuesday, dragged down by losses in financial stocks, while Gland Pharma jumped as much as 10% after it struck a deal to supply up to 252 million Sputnik V vaccine doses.  The NSE Nifty 50 index fell 0.1% to 14,910.45, while the S&P BSE Sensex ended flat at 50,363.96.  The Nifty and the Sensex had earlier risen as much as 0.8% and 0.9%, respectively.",Reliance,Yahoo! Finance
28,2021-02-24,Walmart's Flipkart expands grocery sales to more Indian cities,"Walmart-owned Flipkart will sell groceries online in more Indian cities, as it seeks to compete better with Amazon and Reliance in an e-commerce market that has grown rapidly during the COVID-19 pandemic.  Flipkart has already expanded online grocery sales to more than 50 Indian cities and intends to reach over 70 locations in the next six months, the company said in a statement on Tuesday.  ""Grocery continues to be one of the fastest-growing categories,"" said Manish Kumar, senior vice president at Flipkart, adding that the company had seen increased demand for the service from smaller cities in 2020.",Reliance,Yahoo! Finance
29,2021-02-24,"Reliance partners with Google, Facebook for digital payment network bid - ET","India's conglomerate Reliance Industries has partnered with Facebook Inc, Google and fintech player Infibeam to set up a national digital payment network, Economic Times newspaper reported on Saturday, citing unnamed sources.  Last year, India's central bank invited companies to forge new umbrella entities (NUEs) to create a payments network that would rival the system operated by the National Payments Council of India (NPCI), as it seeks to reduce concentration risks in the space.",Reliance,Yahoo! Finance
30,2021-02-24,Indian shares surge in glitch-ridden session as banks gain,"Indian shares closed sharply higher in a glitch-ridden, extended session on Wednesday, led by gains in financial stocks after private-sector lenders were allowed to carry out government transactions.  The NSE Nifty 50 index ended 1.86% higher at 14,982.00, while the S&P BSE Sensex rose 2.07% to 50,781.69.  The top three boosts to the Nifty 50 were financial and banking stocks, which surged in extended trading, pushing the Nifty private bank index higher by 3.9%.",Reliance,Yahoo! Finance
31,2021-02-24,"Indian shares end flat; Reliance gains, financials weigh","Indian shares ended nearly flat on Tuesday as gains in Reliance and commodity firms were offset by a selloff in financial stocks.  The NSE Nifty 50 index ended 0.22% higher at 14,707.70 and the S&P BSE Sensex closed 0.01% higher at 49,751.41.  Both the indexes snapped five sessions of losses to advance 1.2% during the session, before paring gains as investors sold private sector bank stocks.",Reliance,Yahoo! Finance
32,2021-02-24,India's Reliance sees oil-to-chemicals business spin off in September quarter,"Reliance, which operates the world's biggest refining complex, is in talks with Saudi Aramco  to sell a fifth of its O2C business.  ""Reorganization of O2C Business facilitates participation by strategic investors and marquee sector focused investors,"" the oil-to-telecom conglomerate said in a presentation to investors.  The new entity, Reliance O2C Ltd, will subsume Reliance's investment in oil refining, marketing and petrochemical business.",Reliance,Yahoo! Finance
33,2021-02-24,Supreme Court bars final tribunal ruling on Future's $3.4 billion deal,"India's Supreme Court barred on Monday a final ruling by a tribunal reviewing Future Group's $3.4 billion sale of retail assets until the top court hears objections from aggrieved partner Amazon.com Inc, three sources said.  The outcome of the tussle involving two of the world's richest men, Amazon's Jeff Bezos and Reliance's Mukesh Ambani, could reshape India's pandemic-hit shopping sector and decide if Amazon can blunt Reliance's dominance of retail.",Reliance,Yahoo! Finance
34,2021-02-24,Future Group creditors scramble to recover $2.5 billion loans amid Reliance deal woes - bankers,"Future Group's creditors are exploring options to recover more than $2.5 billion in loans, amid worries the Indian retailer's planned sale of assets to Reliance Industries could fail, four bankers with knowledge of the matter said.  Future may face liquidation if the deal, already mired in legal wrangling, falls through and banks are actively discussing an alternate one-time restructuring option that could include an easier repayment tenure and fresh capital infusion, the people said on condition of anonymity as the talks are private.  ""Without Reliance, there is no future for Future,"" one of the bankers at a major state-owned lender said.",Reliance,Yahoo! Finance
35,2021-02-24,"Indian tribunal blocks regulator's order on Future chief, company says","An Indian tribunal has blocked a regulatory order that this month barred Future Group Chief Executive Kishore Biyani from the securities markets for a year, over accusations of insider trading in 2017, a group company said on Tuesday.  Biyani is also embroiled in a legal battle with Amazon.com Inc over the sale of Future's retail assets to Reliance Industries.  ""Future Group promoters have been asked to deposit a sum of 110 million rupees as an interim measure,"" Future Corporate Resources said in a statement, adding that the tribunal had stayed the Securities and Exchange Board of India (SEBI) order.",Reliance,Yahoo! Finance
36,2021-02-24,India ONGC sees peak gas output from east coast block in 2024,"India, the world's fourth biggest importer of liquefied natural gas, wants to boost local gas output as Prime Minister Narendra has set a target to raise the share of the cleaner fuel in the country's energy mix to 15% by 2030 from the current 6%.  Most of the future gas production is expected from the Krishna Godavari basin, where ONGC and Reliance Industries operate blocks.",Reliance,Yahoo! Finance
37,2021-02-24,India's Future Group shares soar after court lifts hold on Reliance deal,"Shares in Future Group companies jumped nearly 10% on Tuesday, a day after an Indian court overturned an order that had stalled Future Group's $3.4 billion deal to sell its retail assets to conglomerate Reliance Industries Ltd.  The court's decision is the latest twist in the Future Group saga, coming after a New Delhi court last week sided with Future's partner Amazon.com Inc's challenge and put Future's asset sale to Reliance Industries on hold, which led to an appeal from the Indian retail group.  A two-judge bench hearing Future's appeal on Monday put on hold the New Delhi court's previous ruling, two sources familiar with the proceedings said.",Reliance,Yahoo! Finance
38,2021-02-24,Indian shares snap six-day rally as investors book gains in autos,"Indian shares snapped a six-day rally on Tuesday, as investors locked in gains in high-flying automotive stocks following news of lower vehicle sales in January.  The NSE Nifty 50 index ended 0.04% lower at 15,109.30, having hit a record high earlier in the session.  The S&P BSE Sensex also closed 0.04% lower at 51,329.08.",Reliance,Yahoo! Finance
39,2021-02-24,Delhi High Court lifts hold on Future's $3.4 billion retail deal in setback for Amazon,"An Indian court on Monday overturned an order that had stalled Future Group's $3.4 billion deal to sell its retail assets, two sources said, in a setback for Future's partner Amazon.com Inc, which has challenged the sale.  A New Delhi court last week sided with the U.S. online retailer and put Future's asset sale to Reliance Industries on hold, leading to an appeal from the Indian retail group.  A two-judge bench hearing Future's appeal on Monday put on hold the previous ruling, which had effectively stalled the mega retail deal, two sources familiar with the proceedings said.",Reliance,Yahoo! Finance
40,2021-01-24,Reliance's unit to sell Marcellus shale assets for $250 million,"Reliance Industries Ltd said on Thursday its unit will sell its interest in certain upstream assets in the Marcellus shale in the United States for $250 million in cash to Northern Oil and Gas Inc.  The assets, currently operated by various affiliates of EQT Corp, will be sold for the cash consideration and warrants, that will allow for the purchase of 3.25 million common shares of NOG at an exercise price of $14 per common share over the next seven years, Reliance said.  In 2017 Reliance sold a shale oil and gas block in the Marcellus shale in northeastern and central Pennsylvania for $126 million.",Reliance,Yahoo! Finance
41,2021-01-24,"Sensex, Nifty close at record highs as services sector picks up in January","Indian shares ended at record closing highs on Wednesday, extending a post-budget rally on gains in financial stocks after a survey showed that the country's dominant services sector picked up in January.  The NSE Nifty 50 index rose 0.97% to 14,789.95, while the benchmark S&P BSE Sensex was up 0.92% at 50,255.75.  Gains in lenders HDFC Bank and Axis Bank of 0.9% and 2.7% helped the Nifty Bank index end the day 1.4% higher.",Reliance,Yahoo! Finance
42,2021-01-24,India's Future likens Amazon's bid to stall retail deal to 'ruthless' Alexander the Great,"Amazon.com Inc's bid to stall Future Group's $3.4 billion retail assets sale is similar to Alexander the Great's ""ruthless ambition to scorch the earth"", the Indian group's CEO Kishore Biyani said in an internal staff memo seen by Reuters.  Amazon, locked in protracted legal disputes with Future, alleges the Indian firm violated contracts by agreeing to sell its retail assets to Reliance Industries last year.",Reliance,Yahoo! Finance
43,2021-01-24,Future Retail seeks tribunal OK for $3.4 billion asset sale deal; Amazon pushes to block,"India's Future Retail has approached a tribunal to seek a key approval for its $3.4 billion asset sale to Reliance Industries, its lawyer told a court on Thursday, even as partner Amazon tries to block the transaction.  Amazon is locked in bitter legal disputes with Future and alleges the Indian firm violated some of their pre-existing contracts by selling its retail assets to Reliance last year.  Future denies any wrongdoing.",Reliance,Yahoo! Finance
44,2021-01-24,"Sensex, Nifty end at near one-month low as banks, Reliance decline","Indian shares slid on Wednesday to end at a near one-month low, dragged by losses in bank stocks and Reliance Industries, while pre-budget jitters also weighed on sentiment.  The blue-chip NSE Nifty 50 index fell 1.91% to 13,967.5 and the benchmark S&P BSE Sensex closed 1.94% weaker at 47,409.93.  Reliance Industries fell as much as 2.7% and was among the top drags after U.S. e-commerce giant Amazon.com sought to block Future Group's $3.4 billion retail asset sale to the conglomerate.",Reliance,Yahoo! Finance
45,2021-01-24,"Amazon tries to block Future's retail asset sale, seeks CEO's detention - filing","Amazon.com Inc has requested an Indian court to block partner Future Group's $3.4 billion deal to sell its retail assets and called for the Indian group's CEO to be detained, a court filing seen by Reuters showed.  In the U.S. giant's latest effort to derail Future's asset sale to Reliance Industries, it asked the High Court in New Delhi to enforce the decision of a Singapore arbitrator, which Amazon and Future had agreed to use in case of disputes, the filing showed.  In October, the arbitrator issued an interim order saying Future's deal with Reliance should be put on hold.",Reliance,Yahoo! Finance
46,2021-01-24,Reliance Industries shares fall nearly 5% as COVID-19 hits oil business,"Shares of Reliance Industries Ltd fell as much as 4.7% in early trade on Monday after the Indian conglomerate posted a sharp drop in quarterly revenue from its dominant oil-to-chemicals business.  Reliance, which operates the world's largest refining complex, said on Friday revenue from its oil-to-chemicals division fell nearly 30% in the three months ended Dec. 31.  Total revenue slid 21% to 1.24 trillion rupees, and the company said its operations and revenue during the period were impacted by the COVID-19 pandemic.",Reliance,Yahoo! Finance
47,2021-01-24,Reliance beats profit estimates as cost controls blunt oil hit,"Reliance Industries Ltd's profit jumped in the final quarter of 2020 as it reined in spending, although the Indian conglomerate recorded a sharp fall in revenue from its dominant oil-to-chemicals business.  Reliance, led by billionaire Mukesh Ambani, said on Friday consolidated profit rose 12.6% to 131.01 billion rupees ($1.79 billion) in the three months ended Dec. 31.  Reliance has built leading consumer-facing businesses in recent years to diversify away from its mainstay energy arm, but a coronavirus-driven slump in fuel demand has weighed on the Mumbai-headquartered group's recent results.",Reliance,Yahoo! Finance
48,2021-01-24,Facebook's (FB) WhatsApp Might Embed JioMart Within 6 Months,"Facebook's (FB) WhatsApp messaging service might get integrated with Reliance Retail's e-commerce app JioMart over the next six months, expanding Facebook's presence in India.",Reliance,Yahoo! Finance
49,2020-12-24,Inda Ramps Up Deepwater Gas Production,Reliance Industries and BP have announced the start of production in Asia’s deepest offshore natural gas field,Reliance,Yahoo! Finance
50,2020-12-24,BP And Reliance Begin Production in Asia's Deepest Gas Field,"BP starts natural gas production with Reliance from R Cluster, the ultra-deep-water gas field, located off the east coast of India.",Reliance,Yahoo! Finance
51,2020-12-24,Mukesh Ambani on 3 lessons he learnt from Dhirubhai,"Self-belief, empathy and trust are the three important lessons of entrepreneurship that the RIL boss learnt from his father, Dhirubhai.",Reliance,Yahoo! Finance
52,2020-11-24,"Reliance says retail venture completes fundraising, rakes in $6.4 billion","India's Reliance Industries Ltd on Thursday said its retail arm had completed its fundraising exercise as more than half a dozen investors poured 472.65 billion rupees ($6.37 billion) into a 10.09% stake in the company in two months.  Reliance Retail Ventures Ltd (RRVL) began raising capital in September, with U.S.-based private equity firm Silver Lake Partners pumping 75 billion rupees for 1.6% of the venture.  The eight other investors in RRVL include Saudi Arabia's Public Investment Fund, private equity firm KKR & Co Inc, Abu Dhabi state fund Mubadala Investment Co and Abu Dhabi Investment Authority.",Reliance,Yahoo! Finance
53,2020-11-24,Reliance buys furniture retailer Urban Ladder,"Reliance Industries Ltd said on Sunday it has bought a 96% stake in online furniture retailer Urban Ladder for 1,821.2 million rupees ($24.4 million), furthering its attempt to expand its presence in India's online retail market.  The Indian conglomerate is expanding its so-called new commerce venture, which ties neighbourhood stores to Reliance for online deliveries of groceries, apparel and electronics in a space currently dominated by Walmart Inc's Flipkart and Amazon.com Inc's Indian arm.  The purchase ""will further enable the group’s digital and new commerce initiatives and widen the bouquet of consumer products provided by the group,"" Reliance said in a filing to exchanges on Sunday.",Reliance,Yahoo! Finance
54,2020-11-24,"Future says it communicated with Reliance on arbitration order for ""legitimate purpose""","India's Future Retail Ltd communicated with Reliance Industries on an arbitration order related to its dispute with Amazon.com Inc for a ""legitimate purpose"", the company said on Wednesday.  The comments come after Reuters earlier in the day reported Amazon had asked the Securities and Exchange Board of India (SEBI) to investigate Future for insider trading, alleging the Indian firm disclosed to Reliance price sensitive details of an injunction granted by a Singapore arbitrator to block its $3.4 billion deal with Reliance.",Reliance,Yahoo! Finance
55,2020-11-24,Exclusive: Amazon accuses India's Future of insider trading as it seeks to block Reliance deal,"Amazon.com Inc <AMZN.O> has asked India's market regulator to investigate Future Retail Ltd <FRTL.NS> for insider trading, a letter seen by Reuters showed, as it seeks to prevent its business partner from becoming part of rival Reliance's empire.  The U.S. giant has been pressing the Securities and Exchange Board of India (SEBI) to review Reliance's August deal to buy retail, logistics and other assets from Future Group for $3.4 billion (2.56 billion pounds) including debt.  Amazon argues it had a 2019 agreement with Future which prevented the Indian group's retail assets from being sold to certain parties including Reliance Industries Ltd <RELI.NS>, which is led by Asia's richest man, Mukesh Ambani.",Reliance,Yahoo! Finance
56,2020-11-24,Exclusive: Amazon accuses Future of insider trading as it seeks to block Reliance deal,"Amazon.com Inc has asked India's market regulator to investigate Future Retail Ltd for insider trading, a letter seen by Reuters showed, as it seeks to prevent its business partner from becoming part of rival Reliance's empire.  The U.S. giant has been pressing the Securities and Exchange Board of India (SEBI) to review Reliance's August deal to buy retail, logistics and other assets from Future Group for $3.4 billion including debt.  Amazon argues it had a 2019 agreement with Future which prevented the Indian group's retail assets from being sold to certain parties including Reliance Industries Ltd, which is led by Asia's richest man, Mukesh Ambani.",Reliance,Yahoo! Finance
57,2020-11-24,Reliance's deal talks with Saudi Aramco gaining momentum - ET Now,"Reliance Industries Ltd and Saudi Aramco are resuming talks over a 20% stake sale by the Indian conglomerate in its oil-to-chemical business after a brief pause due to COVID-19 pandemic, ET Now reported on Monday, citing sources.  Both the companies were committed to the deal and Aramco wants to do physical inspection of Reliance's assets in India, the report said.  Reliance's shares have been on a tear in 2020, rising more than 35% this year, as it raised billions of dollars from global investors for its digital and retail arms.",Reliance,Yahoo! Finance
58,2020-10-24,India's Future Retail challenges Amazon in court over Reliance deal,"Future Retail <FRTL.NS> has challenged its partner Amazon.com Inc in a New Delhi court to stop interfering in its $3.4 billion asset sale deal, the Indian company said in a statement on Saturday.  Amazon <AMZN.O> is locked in a bitter legal dispute with Future Group, which in August sold its retail assets to Mukesh Ambani-led Reliance Industries Ltd <RELI.NS>.  Amazon last month won an injunction to halt Future's deal with Reliance from a Singapore arbitrator both sides had agreed to use in case of disputes.",Reliance,Yahoo! Finance
59,2020-10-24,Future Retail challenges Amazon in court over Reliance deal,"Future Retail has challenged its partner Amazon.com Inc in a New Delhi court to stop interfering in its $3.4 billion asset sale deal, the Indian company said in a statement on Saturday.  Amazon is locked in a bitter legal dispute with Future Group, which in August sold its retail assets to Mukesh Ambani-led Reliance Industries Ltd. The deal breaches agreements made in 2019 by Future, according to the U.S. online retailer.  Amazon last month won an injunction to halt Future's deal with Reliance from a Singapore arbitrator both sides had agreed to use in case of disputes.",Reliance,Yahoo! Finance
60,2020-10-24,Another big pay cheque for Reliance Retail: Saudi Public Investment Fund to invest 9555cr,"Billionaire Mukesh Ambani-run Reliance Industries Ltd's retail arm on Thursday raised Rs 9,555 crore from Public Investment Fund (PIF) of Saudi Arabia, taking total fundraise in the last two months to Rs 47,265 crore.",Reliance,Yahoo! Finance
61,2020-10-24,"Sensex, Nifty close at over nine-month high on Reliance boost","Indian shares closed at their highest level since mid-January on Friday, boosted by gains in Reliance Industries after the country's most valuable company secured more funding for its retail business.  Reliance shares jumped 3.8% on Friday after the company secured a $1.3-billion investment in its retail business from Saudi Arabia's wealth fund, taking the total amount raised for Reliance Retail Ventures Ltd to more than $3 billion.  The latest investment also came after Amazon.com Inc last month won an injunction from a Singapore arbitrator to halt the sale of some Future Group assets to Reliance.",Reliance,Yahoo! Finance
62,2020-10-24,Saudi Arabia's wealth fund buys 2.04% stake in Reliance Retail Ventures,"Saudi Arabia's Public Investment Fund has bought a 2.04% stake in Reliance Retail Ventures Limited for about $1.3 billion, the sovereign wealth fund said on Thursday.  Reliance Retail Ventures (RRVL) is the retail arm of Reliance Industries', the Indian oil-to-telecoms conglomerate.  ""The investment in RRVL follows an earlier acquisition of a 2.32% stake in Jio Platforms, the digital services subsidiary of Reliance Industries,"" PIF said in a statement.",Reliance,Yahoo! Finance
63,2020-10-24,"Sensex, Nifty end higher as banks, financials offset Reliance weakness","Indian stocks ended higher on Monday, as gains in heavyweight bank and financial stocks on strong earnings boosted indexes and offset losses in Reliance Industries after the oil-to-telecoms conglomerate reported a quarterly profit dip.  The NSE Nifty 50 index closed up 0.23% at 11,669.15 and the S&P BSE Sensex ended 0.36% higher at 39,757.58.",Reliance,Yahoo! Finance
64,2020-10-24,Future Retail says Amazon dispute order not binding on company,"India's Future Retail Ltd (FRL) said on Sunday that a Singapore arbitrator's order in its dispute with Amazon.com Inc is not enforceable under Indian law and not binding on the company.  Amazon on Oct. 25 won an injunction from the arbitrator to halt FRL's deal to sell its retail assets to Reliance Industries for $3.4 billion, arguing the Indian retail group had violated certain pre-existing agreements it had with the U.S. e-commerce giant.  Both FRL and billionaire Mukesh Ambani's Reliance said in news releases later they wanted to press on with the deal without delays, setting the stage for a showdown between the Indian companies and Jeff Bezos-led Amazon.",Reliance,Yahoo! Finance
65,2020-10-24,India's Future Retail says Amazon dispute order not binding on company,"India's Future Retail Ltd (FRL) said on Sunday that a Singapore arbitrator's order in its dispute with Amazon.com Inc is not enforceable under Indian law and not binding on the company.  Amazon on Oct. 25 won an injunction from the arbitrator to halt FRL's deal to sell its retail assets to Reliance Industries for $3.4 billion, arguing the Indian retail group had violated certain pre-existing agreements it had with the U.S. e-commerce giant.  Both FRL and billionaire Mukesh Ambani's Reliance said in news releases later they wanted to press on with the deal without delays, setting the stage for a showdown between the Indian companies and Jeff Bezos-led Amazon.",Reliance,Yahoo! Finance
66,2020-10-24,Exclusive: Amazon tells India regulator its partner Future Retail is misleading public,"Amazon.com Inc <AMZN.O> has complained to India's market regulator that its local partner Future Retail Ltd <FRTL.NS> misled shareholders by incorrectly saying it was complying with its contractual obligations to the U.S. e-commerce giant, a letter seen by Reuters shows.  Amazon is locked in a bitter legal dispute with Future Group, which in August sold its retail assets to Mukesh Ambani-led Reliance Industries Ltd <RELI.NS> for $3.4 billion.  The deal, Amazon alleges, breaches 2019 agreements by Future.",Reliance,Yahoo! Finance
