IsCanceled,ArrivalDateWeekNumber,Country,MarketSegment,DepositType,CustomerType,RequiredCarParkingSpaces
1,29,PRT,Direct,No Deposit     ,Transient,0
1,29,PRT,Online TA,No Deposit     ,Transient,0
1,29,PRT,Online TA,No Deposit     ,Transient,0
1,29,PRT,Online TA,No Deposit     ,Transient,0
1,29,PRT,Online TA,No Deposit     ,Transient,0
0,29,PRT,Direct,No Deposit     ,Transient,0
1,29,PRT,Online TA,No Deposit     ,Transient,0
1,29,PRT,Online TA,No Deposit     ,Transient,0
1,29,PRT,Online TA,No Deposit     ,Transient,0
1,29,PRT,Online TA,No Deposit     ,Transient,0
1,29,PRT,Online TA,No Deposit     ,Transient,0
1,29,PRT,Online TA,No Deposit     ,Transient,0
1,29,PRT,Online TA,No Deposit     ,Transient,0
1,29,PRT,Online TA,No Deposit     ,Transient,0
1,29,PRT,Online TA,No Deposit     ,Transient,0
0,29,PRT,Groups,No Deposit     ,Transient-Party,0
0,29,PRT,Groups,No Deposit     ,Transient-Party,0
0,29,PRT,Groups,No Deposit     ,Transient-Party,0
0,29,PRT,Groups,No Deposit     ,Transient-Party,0
0,29,PRT,Groups,No Deposit     ,Transient-Party,0
0,29,PRT,Groups,No Deposit     ,Transient-Party,0
0,29,PRT,Groups,No Deposit     ,Transient-Party,0
0,29,PRT,Groups,No Deposit     ,Transient-Party,0
0,29,PRT,Groups,No Deposit     ,Transient-Party,0
0,29,PRT,Groups,No Deposit     ,Transient-Party,0
0,29,PRT,Groups,No Deposit     ,Transient-Party,0
0,29,PRT,Groups,No Deposit     ,Transient-Party,0
0,29,PRT,Groups,No Deposit     ,Transient-Party,0
0,29,PRT,Groups,No Deposit     ,Transient-Party,0
0,29,PRT,Groups,No Deposit     ,Transient-Party,0
0,29,PRT,Groups,No Deposit     ,Transient-Party,0
0,29,PRT,Groups,No Deposit     ,Transient-Party,0
0,29,PRT,Groups,No Deposit     ,Transient-Party,0
0,29,PRT,Groups,No Deposit     ,Transient-Party,0
0,29,PRT,Groups,No Deposit     ,Transient-Party,0
0,29,PRT,Groups,No Deposit     ,Transient-Party,0
1,29,ITA,Offline TA/TO,No Deposit     ,Transient-Party,0
0,29,PRT,Offline TA/TO,No Deposit     ,Transient-Party,0
1,29,ITA,Offline TA/TO,No Deposit     ,Transient-Party,0
0,29,PRT,Offline TA/TO,No Deposit     ,Transient-Party,0
1,29,ITA,Offline TA/TO,No Deposit     ,Transient-Party,0
1,29,ITA,Offline TA/TO,No Deposit     ,Transient-Party,0
1,29,ITA,Offline TA/TO,No Deposit     ,Transient-Party,0
1,29,ITA,Offline TA/TO,No Deposit     ,Transient-Party,0
1,29,ITA,Offline TA/TO,No Deposit     ,Transient-Party,0
0,29,PRT,Offline TA/TO,No Deposit     ,Transient-Party,0
0,29,PRT,Offline TA/TO,No Deposit     ,Transient-Party,0
1,29,ITA,Offline TA/TO,No Deposit     ,Transient-Party,0
1,29,ITA,Offline TA/TO,No Deposit     ,Transient-Party,0
0,29,PRT,Offline TA/TO,No Deposit     ,Transient-Party,0
1,29,ITA,Offline TA/TO,No Deposit     ,Transient-Party,0
1,29,ITA,Offline TA/TO,No Deposit     ,Transient-Party,0
1,29,ITA,Offline TA/TO,No Deposit     ,Transient-Party,0
1,29,ITA,Offline TA/TO,No Deposit     ,Transient-Party,0
1,29,ITA,Offline TA/TO,No Deposit     ,Transient-Party,0
1,29,ITA,Offline TA/TO,No Deposit     ,Transient-Party,0
0,29,PRT,Offline TA/TO,No Deposit     ,Transient-Party,0
1,29,ITA,Offline TA/TO,No Deposit     ,Transient-Party,0
1,29,ITA,Offline TA/TO,No Deposit     ,Transient-Party,0
1,29,ITA,Offline TA/TO,No Deposit     ,Transient-Party,0
0,29,PRT,Groups,No Deposit     ,Transient-Party,0
0,29,PRT,Groups,No Deposit     ,Transient-Party,0
0,29,PRT,Groups,No Deposit     ,Transient-Party,0
1,29,PRT,Groups,No Deposit     ,Transient-Party,0
1,29,PRT,Groups,No Deposit     ,Transient-Party,0
1,29,PRT,Groups,No Deposit     ,Transient-Party,0
1,29,PRT,Online TA,No Deposit     ,Transient,0
1,29,PRT,Groups,No Deposit     ,Transient-Party,0
1,29,PRT,Groups,No Deposit     ,Transient-Party,0
0,29,PRT,Groups,No Deposit     ,Transient-Party,0
1,29,PRT,Groups,No Deposit     ,Transient-Party,0
1,29,PRT,Groups,No Deposit     ,Transient-Party,0
0,29,PRT,Groups,No Deposit     ,Transient-Party,0
0,29,PRT,Groups,No Deposit     ,Transient-Party,0
1,29,PRT,Groups,No Deposit     ,Transient-Party,0
1,29,PRT,Groups,No Deposit     ,Transient-Party,0
0,29,PRT,Groups,No Deposit     ,Transient-Party,0
0,29,PRT,Groups,No Deposit     ,Transient-Party,0
1,29,PRT,Groups,No Deposit     ,Transient-Party,0
1,29,PRT,Groups,No Deposit     ,Transient-Party,0
0,29,PRT,Groups,No Deposit     ,Transient-Party,0
1,29,PRT,Groups,No Deposit     ,Transient-Party,0
1,29,PRT,Groups,No Deposit     ,Transient-Party,0
0,29,PRT,Groups,No Deposit     ,Transient-Party,0
1,29,PRT,Groups,No Deposit     ,Transient-Party,0
0,29,PRT,Groups,No Deposit     ,Transient-Party,0
0,29,PRT,Groups,No Deposit     ,Transient-Party,0
1,29,PRT,Groups,No Deposit     ,Transient-Party,0
0,29,PRT,Groups,No Deposit     ,Transient-Party,0
0,29,PRT,Groups,No Deposit     ,Transient-Party,0
1,29,PRT,Groups,No Deposit     ,Transient-Party,0
0,29,PRT,Groups,No Deposit     ,Transient,0
1,30,PRT,Online TA,No Deposit     ,Transient,0
1,30,PRT,Online TA,No Deposit     ,Transient-Party,0
1,30,PRT,Online TA,No Deposit     ,Transient-Party,0
1,30,PRT,Online TA,No Deposit     ,Transient,0
1,30,PRT,Online TA,No Deposit     ,Transient,0
1,30,PRT,Online TA,No Deposit     ,Transient-Party,0
1,30,PRT,Online TA,No Deposit     ,Transient-Party,0
0,30,PRT,Online TA,No Deposit     ,Transient,0
0,30,PRT,Offline TA/TO,No Deposit     ,Transient,0
1,30,PRT,Online TA,No Deposit     ,Transient,0
1,30,PRT,Online TA,No Deposit     ,Transient,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
1,30,PRT,Groups,Non Refund     ,Transient-Party,0
1,30,PRT,Groups,Non Refund     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
1,30,PRT,Groups,No Deposit     ,Transient-Party,0
1,30,PRT,Groups,Non Refund     ,Transient-Party,0
1,30,PRT,Groups,Non Refund     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
1,30,PRT,Groups,No Deposit     ,Transient-Party,0
1,30,PRT,Groups,Non Refund     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
1,30,PRT,Groups,Non Refund     ,Transient-Party,0
1,30,PRT,Groups,Non Refund     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
1,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
1,30,PRT,Groups,Non Refund     ,Transient-Party,0
1,30,PRT,Groups,Non Refund     ,Transient-Party,0
1,30,PRT,Groups,Non Refund     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
1,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
1,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
1,30,PRT,Direct,No Deposit     ,Transient,0
1,30,PRT,Online TA,No Deposit     ,Transient,0
1,30,PRT,Online TA,No Deposit     ,Transient,0
1,30,PRT,Online TA,No Deposit     ,Transient,0
1,30,PRT,Online TA,No Deposit     ,Transient,0
1,30,PRT,Online TA,No Deposit     ,Transient-Party,0
1,30,PRT,Online TA,No Deposit     ,Transient-Party,0
1,30,PRT,Groups,Non Refund     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
1,30,PRT,Groups,Non Refund     ,Transient-Party,0
0,30,PRT,Online TA,No Deposit     ,Transient,0
1,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
1,30,PRT,Groups,Non Refund     ,Transient-Party,0
1,30,PRT,Online TA,No Deposit     ,Transient,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Offline TA/TO,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Offline TA/TO,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
1,30,PRT,Online TA,No Deposit     ,Transient,0
1,30,PRT,Groups,No Deposit     ,Transient-Party,0
1,30,PRT,Groups,No Deposit     ,Transient-Party,0
1,30,PRT,Groups,No Deposit     ,Transient-Party,0
1,30,PRT,Groups,No Deposit     ,Transient-Party,0
1,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
1,30,PRT,Online TA,No Deposit     ,Transient,0
0,30,PRT,Direct,No Deposit     ,Transient,0
0,30,PRT,Direct,No Deposit     ,Transient,0
0,30,PRT,Direct,No Deposit     ,Transient,0
0,30,PRT,Direct,No Deposit     ,Transient,0
0,30,PRT,Direct,No Deposit     ,Transient,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Online TA,No Deposit     ,Transient,0
0,30,PRT,Direct,No Deposit     ,Transient,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Online TA,No Deposit     ,Transient,0
1,30,PRT,Online TA,No Deposit     ,Transient,0
1,30,PRT,Online TA,No Deposit     ,Transient,0
1,30,ITA,Offline TA/TO,No Deposit     ,Transient-Party,0
1,30,ITA,Offline TA/TO,No Deposit     ,Transient-Party,0
0,30,ITA,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
1,30,ITA,Offline TA/TO,No Deposit     ,Transient-Party,0
1,30,ITA,Offline TA/TO,No Deposit     ,Transient-Party,0
1,30,ITA,Offline TA/TO,No Deposit     ,Transient-Party,0
1,30,ITA,Offline TA/TO,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,ITA,Offline TA/TO,No Deposit     ,Transient-Party,0
1,30,ITA,Offline TA/TO,No Deposit     ,Transient-Party,0
1,30,ITA,Offline TA/TO,No Deposit     ,Transient-Party,0
1,30,ITA,Offline TA/TO,No Deposit     ,Transient-Party,0
1,30,ITA,Offline TA/TO,No Deposit     ,Transient-Party,0
1,30,ITA,Offline TA/TO,No Deposit     ,Transient-Party,0
1,30,ITA,Offline TA/TO,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
1,30,ITA,Offline TA/TO,No Deposit     ,Transient-Party,0
1,30,ITA,Offline TA/TO,No Deposit     ,Transient-Party,0
0,30,ITA,Offline TA/TO,No Deposit     ,Transient-Party,0
0,30,ITA,Offline TA/TO,No Deposit     ,Transient-Party,0
1,30,ITA,Offline TA/TO,No Deposit     ,Transient-Party,0
1,30,ITA,Offline TA/TO,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
1,30,ITA,Offline TA/TO,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,ITA,Offline TA/TO,No Deposit     ,Transient-Party,0
1,30,ITA,Offline TA/TO,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
1,30,ITA,Offline TA/TO,No Deposit     ,Transient-Party,0
1,30,ITA,Offline TA/TO,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,ESP,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
1,30,PRT,Groups,No Deposit     ,Transient-Party,0
1,30,PRT,Groups,No Deposit     ,Transient-Party,0
1,30,PRT,Groups,No Deposit     ,Transient-Party,0
1,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
1,30,PRT,Groups,No Deposit     ,Transient-Party,0
1,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
1,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,ITA,Groups,No Deposit     ,Transient-Party,0
1,30,PRT,Groups,No Deposit     ,Transient-Party,0
1,30,PRT,Groups,No Deposit     ,Transient-Party,0
0,30,ESP,Groups,No Deposit     ,Transient-Party,0
0,30,PRT,Groups,No Deposit     ,Transient-Party,0
1,30,PRT,Groups,No Deposit     ,Transient-Party,0
1,30,PRT,Groups,No Deposit     ,Transient-Party,0
1,30,PRT,Groups,No Deposit     ,Transient-Party,0
1,31,PRT,Online TA,No Deposit     ,Transient,0
0,31,PRT,Direct,No Deposit     ,Transient,0
1,31,PRT,Online TA,No Deposit     ,Transient,0
0,31,PRT,Groups,No Deposit     ,Transient,0
1,31,PRT,Online TA,No Deposit     ,Transient,0
1,31,PRT,Groups,Non Refund     ,Transient-Party,0
0,31,ESP,Groups,No Deposit     ,Transient-Party,0
1,31,PRT,Groups,No Deposit     ,Transient-Party,0
1,31,PRT,Groups,No Deposit     ,Transient-Party,0
0,31,ESP,Groups,No Deposit     ,Transient-Party,0
1,31,PRT,Groups,Non Refund     ,Transient-Party,0
1,31,PRT,Groups,Non Refund     ,Transient-Party,0
0,31,ESP,Groups,No Deposit     ,Transient-Party,0
1,31,PRT,Groups,No Deposit     ,Transient-Party,0
1,31,PRT,Groups,No Deposit     ,Transient-Party,0
1,31,PRT,Groups,Non Refund     ,Transient-Party,0
1,31,PRT,Groups,Non Refund     ,Transient-Party,0
1,31,PRT,Groups,No Deposit     ,Transient-Party,0
0,31,ESP,Groups,No Deposit     ,Transient-Party,0
0,31,ESP,Groups,No Deposit     ,Transient-Party,0
0,31,PRT,Groups,No Deposit     ,Transient-Party,0
0,31,ESP,Groups,No Deposit     ,Transient-Party,0
0,31,ESP,Groups,No Deposit     ,Transient-Party,0
1,31,PRT,Groups,Non Refund     ,Transient-Party,0
1,31,PRT,Groups,Non Refund     ,Transient-Party,0
1,31,PRT,Online TA,No Deposit     ,Transient,0
0,31,PRT,Groups,No Deposit     ,Transient-Party,0
0,31,ESP,Groups,No Deposit     ,Transient-Party,0
0,31,ESP,Groups,No Deposit     ,Transient-Party,0
0,31,ESP,Groups,No Deposit     ,Transient-Party,0
0,31,ESP,Groups,No Deposit     ,Transient-Party,0
1,31,PRT,Groups,Non Refund     ,Transient-Party,0
1,31,PRT,Groups,Non Refund     ,Transient-Party,0
1,31,PRT,Groups,Non Refund     ,Transient-Party,0
1,31,PRT,Groups,Non Refund     ,Transient-Party,0
1,31,PRT,Groups,No Deposit     ,Transient-Party,0
1,31,PRT,Groups,Non Refund     ,Transient-Party,0
1,31,PRT,Groups,Non Refund     ,Transient-Party,0
1,31,PRT,Groups,Non Refund     ,Transient-Party,0
1,31,PRT,Groups,No Deposit     ,Transient-Party,0
0,31,ESP,Groups,No Deposit     ,Transient-Party,0
0,31,ESP,Groups,No Deposit     ,Transient-Party,0
0,31,PRT,Groups,No Deposit     ,Transient-Party,0
1,31,PRT,Groups,No Deposit     ,Transient-Party,0
1,31,PRT,Groups,Non Refund     ,Transient-Party,0
0,31,ESP,Groups,No Deposit     ,Transient-Party,0
0,31,ESP,Groups,No Deposit     ,Transient-Party,0
0,31,ESP,Groups,No Deposit     ,Transient-Party,0
1,31,PRT,Groups,Non Refund     ,Transient-Party,0
1,31,PRT,Groups,Non Refund     ,Transient-Party,0
1,31,PRT,Groups,No Deposit     ,Transient-Party,0
1,31,PRT,Groups,No Deposit     ,Transient-Party,0
1,31,PRT,Groups,Non Refund     ,Transient-Party,0
0,31,PRT,Online TA,No Deposit     ,Transient-Party,1
0,31,PRT,Corporate,No Deposit     ,Transient,0
0,31,DEU,Offline TA/TO,No Deposit     ,Transient,0
0,31,FRA,Online TA,No Deposit     ,Transient-Party,0
1,31,PRT,Online TA,No Deposit     ,Transient,0
0,31,NLD,Online TA,No Deposit     ,Transient,0
0,31,GBR,Online TA,No Deposit     ,Transient,0
0,31,PRT,Online TA,No Deposit     ,Transient,0
